Earnings,Driver,Races,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Win
"1,028,320",Richard Petty,74,28,37,1,9417,1278,10.7,15,47,23542.5,24,10
"929,247",Cale Yarborough,57,20,27,12,6284,1252,9.4,17.5,32,15710,19,9
"384,075",David Pearson,54,22,34,2,6990,674,10.2,12.2,41,17475,17,8
"66,095",Fireball Roberts,17,8,10,6,1399,699,5.4,15.8,10,3497.5,8,7
"1,023,270",Bobby Allison,55,17,22,2,7094,854,13.4,16.1,35,17735,15,6
"11,637,498",Jeff Gordon,46,13,21,4,7694,710,10.5,16.3,40,19235,35,6
"13,429,413","Dale Earnhardt, Jr.",36,13,19,2,6010,602,9.9,14.8,30,15025,26,4
"5,086,244",Bill Elliott,60,15,24,5,9913,616,17.2,15.9,53,24782.5,34,4
"5,889,866",Dale Jarrett,42,9,17,4,6867,334,17.1,16.4,35,17167.5,28,4
"37,415",Junior Johnson,20,7,9,1,1496,250,10.2,15.8,12,3740,7,4
"9,572,302",Tony Stewart,35,9,14,1,5438,669,12.6,18.6,29,13595,23,4
"4,441,856",Dale Earnhardt,46,22,34,3,7485,1286,9.4,10.7,37,18712.5,28,3
"360,060",A.J. Foyt,54,15,17,2,5518,444,13.5,21,21,13795,10,3
"95,560",Bobby Isaac,27,8,14,2,3028,273,7.9,13.9,16,7570,6,3
"10,401,867",Jimmie Johnson,36,12,16,2,5615,299,11.7,17.9,26,14037.5,24,3
"4,803,130",Sterling Marlin,52,12,21,4,8268,591,16.3,17.4,39,20670,28,3
"8,858,271",Michael Waltrip,56,7,16,0,8997,360,19,21,44,22492.5,27,3
"105,265",LeeRoy Yarbrough,24,8,13,1,2429,234,10.2,12.5,15,6072.5,7,3
"719,075",Davey Allison,14,4,5,2,2331,223,6.5,17.5,13,5827.5,5,2
"862,217",Buddy Baker,64,22,31,5,7318,1126,12.5,16.2,36,18295,24,2
"57,600",Pete Hamilton,10,4,5,0,839,57,5.9,19.4,5,2097.5,4,2
"5,995,512",Denny Hamlin,28,8,9,0,4772,442,16.4,17.4,25,11930,18,2
"10,258,974",Kevin Harvick,37,9,14,1,5762,256,14.8,17.8,29,14405,23,2
"1,433,611",Ernie Irvan,21,6,11,1,3212,421,15.6,15.4,17,8030,13,2
"9,678,131",Matt Kenseth,36,6,14,1,5790,383,17.4,19,29,14475,22,2
"96,875",Fred Lorenzen,24,16,18,0,2467,180,10.1,9.3,18,6167.5,11,2
"6,748,653",Jamie McMurray,33,3,5,0,5263,58,19.9,23.3,21,13157.5,16,2
"29,500",Jack Smith,15,8,10,1,1368,179,13.1,12.4,11,3420,4,2
"30,225",Joe Weatherly,15,8,10,0,1538,54,7.9,10.5,11,3845,6,2
"191,065",Donnie Allison,29,8,14,4,3428,276,10.3,16.2,17,8570,6,1
"2,414,627",Aric Almirola,16,2,3,0,2663,22,21.9,20.6,11,6657.5,9,1
"3,071,678",John Andretti,27,1,1,0,4016,139,25.1,27.7,19,10040,12,1
"53,505",Mario Andretti,8,1,2,0,662,144,14.8,20.4,4,1655,2,1
"8,905",Earl Balmer,7,2,4,0,517,9,7.6,17.1,3,1292.5,1,1
"3,256,625",Trevor Bayne,16,2,4,0,2569,10,20.1,22.4,12,6422.5,7,1
"6,519,868",Greg Biffle,28,3,9,2,4674,158,16.2,19.4,25,11685,20,1
"2,353,461",Geoffrey Bodine,41,7,14,1,6238,187,18.3,19.7,30,15595,15,1
"492,510",Neil Bonnett,29,5,8,1,3992,216,12.2,19.9,15,9980,4,1
"7,853,357",Jeff Burton,40,9,11,1,6595,146,20.4,17.4,33,16487.5,28,1
"3,220,573",Ward Burton,21,2,8,0,3474,73,19.4,20.9,18,8685,9,1
"8,860,022",Kurt Busch,37,13,18,0,6065,315,19.2,17.7,33,15162.5,21,1
"5,497,012",Kyle Busch,29,8,9,1,4709,423,14.7,18.4,22,11772.5,19,1
"1,097,078",Derrike Cope,25,1,1,0,3569,47,23.8,28.7,13,8922.5,3,1
"53,110",Darel Dieringer,22,9,16,3,2661,43,9.6,8.5,19,6652.5,6,1
"1,455,253",Austin Dillon,13,2,7,1,2179,64,14.2,15.1,11,5447.5,8,1
"72,070",Charlie Glotzbach,18,6,8,1,1817,151,10.3,16.9,10,4542.5,3,1
"32,805",Paul Goldsmith,18,6,9,1,1743,97,7.5,15,10,4357.5,6,1
0,Justin Haley,1,1,1,0,127,1,34,1,1,317.5,1,1
0,Erik Jones,6,2,3,0,825,21,22.2,18.5,4,2062.5,3,1
"3,696,988",Brad Keselowski,21,3,4,0,3219,199,20.7,23.2,12,8047.5,9,1
"4,571,853",Joey Logano,22,6,9,0,3538,114,16.7,17.4,18,8845,15,1
"48,960",Tiny Lund,26,5,11,0,2373,23,18.3,17.2,14,5932.5,3,1
"26,570",Sam McQuagg,11,3,5,0,1152,127,12.5,13.8,6,2880,2,1
"7,854,889",Ryan Newman,36,6,11,0,6116,104,19.9,18.4,31,15290,23,1
"46,605",Marvin Panch,20,9,11,1,1919,145,12.3,13.7,13,4797.5,6,1
"566,275",Benny Parsons,41,14,19,1,5246,122,13.8,17.7,22,13115,8,1
"24,860",Lee Petty,7,3,5,0,642,52,13.1,10.3,5,1605,3,1
"4,338,826",David Ragan,26,3,5,0,4069,39,24.2,21.2,17,10172.5,14,1
"131,940",Tim Richmond,12,1,1,0,1422,32,24.3,24.2,4,3555,1,1
"40,910",Johnny Rutherford,15,2,5,0,1364,8,21.8,21.2,6,3410,2,1
"508,971",Greg Sacks,24,1,4,1,2867,39,24.2,26.8,14,7167.5,4,1
"1,758,728",Jimmy Spencer,27,2,5,0,4042,12,22.2,22.4,21,10105,13,1
"1,876,619","Ricky Stenhouse, Jr.",15,2,3,0,2517,97,17.4,18.7,13,6292.5,10,1
"1,798,921",Darrell Waltrip,55,13,18,1,8482,330,16.5,19.2,42,21205,17,1
"4,235",Bob Welborn,11,2,4,1,914,42,16.4,17.5,6,2285,2,1
"1,785",Marv Acton,2,0,0,0,232,0,24.5,18.5,2,580,0,0
"2,400",Carl Adams,1,0,1,0,151,0,32,9,1,377.5,0,0
"29,860",Grant Adcox,12,0,0,0,1347,0,22,26.3,5,3367.5,1,0
"92,625",Mike Alexander,8,0,1,0,1244,4,25,19.8,6,3110,1,0
"12,065",Johnny Allen,17,3,6,0,1572,0,21.2,16,11,3930,1,0
"258,282","Loy Allen, Jr.",9,0,0,1,1375,1,25.3,30.1,7,3437.5,1,0
"886,674",Justin Allgaier,4,0,0,0,649,4,27.5,26.8,1,1622.5,1,0
"3,179,379",A.J. Allmendinger,19,3,6,0,3126,21,22.2,20.4,17,7815,12,0
"1,150",George Alsobrook,4,0,1,0,301,0,18.2,18.8,3,752.5,0,0
"3,650",George Altheide,3,0,0,0,450,0,24.3,18.3,2,1125,0,0
"2,679,820",Marcos Ambrose,12,0,2,0,1817,0,19,22.1,9,4542.5,8,0
"2,045",Jack Anderson,4,0,0,0,69,0,22.5,23.2,0,172.5,0,0
"14,920",John Anderson,2,0,1,0,341,0,13.5,13.5,1,852.5,0,0
"854,984",Michael Annett,6,0,0,0,939,4,28,25.8,5,2347.5,3,0
"8,975",Ben Arnold,9,0,0,0,1122,0,22.6,21.1,7,2805,0,0
"171,940",Buddy Arrington,37,0,3,0,4606,0,25.2,22.4,21,11515,0,0
220,Bob Ashbrook,1,0,0,0,44,0,29,20,1,110,0,0
"388,868",Casey Atwood,4,0,0,0,670,0,15.2,25.8,3,1675,1,0
100,Jim Austin,1,0,0,0,33,0,36,32,0,82.5,0,0
200,L.D. Austin,4,0,0,0,277,0,45,35.8,2,692.5,0,0
"10,670",H.B. Bailey,12,1,2,0,859,0,20.6,22.1,8,2147.5,0,0
"12,135",Buck Baker,23,3,4,0,1648,21,19.6,21.7,8,4120,2,0
"10,450",Charlie Baker,1,0,0,0,39,0,25,40,0,97.5,0,0
"8,900",Rick Baldwin,1,0,0,0,188,0,30,20,1,470,0,0
