"Year","RK","DRIVER","POINTS","WINS","POLES","TOP_5","TOP_10","MAKE","TEAM"
2015,1,"Kyle Busch",5043,5,1,12,16,"Toyota","Joe Gibbs Racing"
2015,2,"Kevin Harvick",5042,3,3,23,28,"Ford","Stewart-Haas Racing"
2015,3,"Jeff Gordon",5038,1,2,5,21,"Chevrolet","Hendrick Motorsports"
2015,4,"Martin Truex Jr.",5032,1,0,8,22,"Toyota","Joe Gibbs Racing"
2015,5,"Carl Edwards",2368,2,2,7,15,"Toyota","Joe Gibbs Racing"
2015,6,"Joey Logano",2360,6,1,22,28,"Ford","Penske Racing"
2015,7,"Brad Keselowski",2347,1,1,9,25,"Ford","Penske Racing"
2015,8,"Kurt Busch",2333,2,1,10,21,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2015,9,"Denny Hamlin",2327,2,3,14,20,"Toyota","Joe Gibbs Racing"
2015,10,"Jimmie Johnson",2315,5,1,14,22,"Chevrolet","Hendrick Motorsports"
2015,11,"Ryan Newman",2314,0,0,5,15,"Ford","Roush Fenway Racing"
2015,12,"Dale Earnhardt Jr.",2310,3,0,16,22,"Chevrolet","Hendrick Motorsports"
2015,13,"Jamie McMurray",2295,0,0,4,10,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2015,14,"Paul Menard",2262,0,1,2,5,"Ford","Wood Brothers"
2015,15,"Matt Kenseth",2234,5,3,12,20,"Toyota","Joe Gibbs Racing"
2015,16,"Clint Bowyer",2175,0,0,2,12,"Ford","Stewart-Haas Racing"
2015,17,"Aric Almirola",940,0,0,3,6,"Ford","Stewart-Haas Racing"
2015,18,"Kasey Kahne",939,0,0,3,10,"Chevrolet","Hendrick Motorsports"
2015,19,"Kyle Larson",872,0,0,2,10,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2015,20,"Greg Biffle",869,0,0,3,4,"Ford","Roush Fenway Racing"
2015,21,"Austin Dillon",832,0,0,1,5,"Chevrolet","Richard Childress Racing"
2015,22,"AJ Allmendinger",758,0,1,0,3,"Chevrolet","JTG Daugherty Racing"
2015,23,"Casey Mears",754,0,0,0,1,"Chevrolet","Richard Childress Racing"
2015,24,"Danica Patrick",716,0,0,0,2,"Chevrolet","Stewart-Haas Racing"
2015,25,"Ricky Stenhouse Jr.",712,0,0,1,3,"Ford","Roush Fenway Racing"
2015,26,"Sam Hornish Jr.",709,0,0,0,3,"Ford","Richard Petty Motorsports"
2015,27,"David Ragan",701,0,0,1,1,"Ford","Front Row Motorsports"
2015,28,"Tony Stewart",695,0,0,0,3,"Chevrolet","Stewart-Haas Racing"
2015,29,"Trevor Bayne",655,0,0,0,2,"Ford","Roush Fenway Racing"
2015,30,"Justin Allgaier",588,0,0,0,1,"Chevrolet","HScott Motorsports"
2015,31,"Cole Whitt",553,0,0,0,0,"Chevrolet","Premium Motorsports"
2015,32,"David Gilliland",533,0,0,0,0,"Ford",
2015,33,"Alex Bowman",437,0,0,0,0,"Chevrolet","Hendrick Motorsports"
2015,34,"Brett Moffitt",422,0,0,0,1,"Ford","Front Row Motorsports"
2015,35,"Matt DiBenedetto",399,0,0,0,0,"Toyota","BK Racing"
2015,36,"Michael Annett",398,0,0,0,0,"Chevrolet","HScott Motorsports"
2015,37,"Josh Wise",254,0,0,0,1,"Chevrolet","The Motorsports Group"
2015,38,"Jeb Burton",216,0,0,0,0,"Toyota","BK Racing"
2015,39,"Michael McDowell",213,0,0,0,0,"Ford","Circle Sport-Leavine Family Racing"
2015,40,"Alex Kennedy",120,0,0,0,0,"Chevrolet","Richard Childress Racing"
2015,41,"Reed Sorenson",74,0,0,0,0,"Chevrolet","Hillman Racing"
2015,42,"Bobby Labonte",60,0,0,0,0,"Ford","Go Fas Racing"
2015,43,"Michael Waltrip",58,0,0,0,0,"Chevrolet","Phil Parsons Racing"
2015,44,"Ryan Preece",35,0,0,0,0,"Chevrolet","JTG Daugherty Racing"
2015,45,"Brian Vickers",32,0,0,0,0,"Toyota","Michael Waltrip Racing"
2015,46,"Will Kimmel",11,0,0,0,0,"Ford","Go Fas Racing"
2015,47,"Mike Wallace",8,0,0,0,0,"Toyota","Michael Waltrip Racing"
2015,48,"Eddie MacDonald",7,0,0,0,0,"Ford","Go Fas Racing"
2015,49,"T.J. Bell",7,0,0,0,0,"Chevrolet","Phil Parsons Racing"
2015,50,"Kyle Fowler",3,0,0,0,0,"Ford","Go Fas Racing"

