"Year","RK","DRIVER","POINTS","WINS","POLES","TOP_5","TOP_10","MAKE","TEAM","Stage_Points","Stage_Wins"
2018,1,"Joey Logano",5040,3,1,13,26,"Ford","Penske Racing",258,5
2018,2,"Martin Truex Jr.",5035,4,4,20,21,"Toyota","Joe Gibbs Racing",284,10
2018,3,"Kevin Harvick",5034,8,4,23,29,"Ford","Stewart-Haas Racing",375,19
2018,4,"Kyle Busch",5033,8,5,22,28,"Toyota","Joe Gibbs Racing",350,6
2018,5,"Aric Almirola",2354,1,0,4,17,"Ford","Stewart-Haas Racing",170,1
2018,6,"Chase Elliott",2350,3,1,11,21,"Chevrolet","Hendrick Motorsports",234,4
2018,7,"Kurt Busch",2350,1,5,6,22,"Chevrolet","Chip Ganassi Racing with Felix Sabates",309,3
2018,8,"Brad Keselowski",2343,3,0,12,20,"Ford","Penske Racing",287,5
2018,9,"Kyle Larson",2299,0,3,12,19,"Chevrolet","Chip Ganassi Racing with Felix Sabates",251,5
2018,10,"Ryan Blaney",2298,1,3,8,16,"Ford","Penske Championship Racing",269,6
2018,11,"Denny Hamlin",2285,0,4,10,17,"Toyota","Joe Gibbs Racing",178,3
2018,12,"Clint Bowyer",2272,2,0,9,16,"Ford","Stewart-Haas Racing",244,1
2018,13,"Austin Dillon",2245,1,0,2,8,"Chevrolet","Richard Childress Racing",35,"."
2018,14,"Jimmie Johnson",2242,0,0,2,11,"Chevrolet","Hendrick Motorsports",134,"."
2018,15,"Erik Jones",2220,1,1,9,18,"Toyota","Joe Gibbs Racing",111,"."
2018,16,"Alex Bowman",2204,0,1,3,11,"Chevrolet","Hendrick Motorsports",71,"."
2018,17,"Ryan Newman",769,0,0,0,9,"Ford","Roush Fenway Racing",52,"."
2018,18,"Ricky Stenhouse Jr.",701,0,0,3,5,"Ford","Roush Fenway Racing",57,2
2018,19,"Paul Menard",692,0,1,1,7,"Ford","Wood Brothers",56,1
2018,20,"Jamie McMurray",683,0,0,2,8,,,29,"."
2018,21,"Daniel Suarez",674,0,1,3,9,"Ford","Stewart-Haas Racing",34,"."
2018,22,"AJ Allmendinger",603,0,0,1,5,,,29,1
2018,23,"William Byron",587,0,0,0,4,"Chevrolet","Hendrick Motorsports",41,"."
2018,24,"Chris Buescher",585,0,0,2,2,"Chevrolet","JTG Daugherty Racing",7,"."
2018,25,"David Ragan",524,0,0,0,1,"Ford","Front Row Motorsports",5,"."
2018,26,"Michael McDowell",493,0,0,0,1,"Ford","Front Row Motorsports",36,"."
2018,27,"Ty Dillon",482,0,0,0,1,"Chevrolet","Germain Racing",12,"."
2018,28,"Bubba Wallace",471,0,0,1,3,"Ford","Richard Petty Motorsports",".","."
2018,29,"Matt DiBenedetto",368,0,0,0,1,"Toyota","BK Racing",".","."
2018,30,"Kasey Kahne",358,0,0,1,1,,,14,"."
2018,31,"Trevor Bayne",287,0,0,0,0,,,6,"."
2018,32,"Matt Kenseth",268,0,0,0,2,,,11,1
2018,33,"Regan Smith",157,0,0,0,1,,,".","."
2018,34,"Corey LaJoie",144,0,0,0,0,"Ford","Go Fas Racing",".","."
2018,35,"Cole Whitt",132,0,0,0,0,"Chevrolet","Premium Motorsports",".","."
2018,36,"Gray Gaulding",119,0,0,0,0,"Toyota","BK Racing",".","."
2018,37,"Jeffrey Earnhardt",110,0,0,0,0,,,".","."
2018,38,"Kyle Weatherman",33,0,0,0,0,"Chevrolet",,".","."
2018,39,"Harrison Rhodes",24,0,0,0,0,,,".","."
2018,40,"Blake Jones",21,0,0,0,0,,,".","."
2018,41,"Mark Thompson",15,0,0,0,0,,,".","."
2018,42,"Cody Ware",11,0,0,0,0,"Chevrolet",,".","."
2018,43,"Derrike Cope",8,0,0,0,0,,,".","."
2018,44,"Chris Cook",6,0,0,0,0,,,".","."
2018,45,"Tomy Drissi",5,0,0,0,0,,,".","."
2018,46,"Danica Patrick",2,0,0,0,0,,,".","."
2018,47,"Alon Day",1,0,0,0,0,,,".","."

